numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
1,5848,ROBO C3,Edison,Georgia,USA,CMPTX,2022,South
1,5853,FEAR The Termigators,Ypsilanti,Michigan,USA,CMPTX,2022,Midwest
1,5855,Blue Collar Bruisers,Milwaukee,Wisconsin,USA,CMPMI,2018,Midwest
1,5872,WiredCats,Davie,Florida,USA,CMPTX,2022,South
1,5878,The Great Lakers,Mackinac Island,Michigan,USA,CMPTX,2022,Midwest
1,5891,UASGC Robosquad,New York,New York,USA,CMPTX,2022,Northeast
3,5892,Energy HEROs,Houston,Texas,USA,CMPTX,2022,South
10,5895,Peddie Robotics,Hightstown,New Jersey,USA,CMPTX,2022,Northeast
1,5901,Cougar Pack,Detroit,Michigan,USA,CMPTX,2022,Midwest
1,5903,ThorBots,Westby,Wisconsin,USA,CMPTX,2022,Midwest
