numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
3,4415,EPIC Robotz,Cerritos,California,USA,CMPTX,2022,West
1,4419,Team Rewind,San Marcos,California,USA,CMPTX,2022,West
7,4451,ROBOTZ Garage,Laurens,South Carolina,USA,CMPTX,2022,South
3,4453,The Red Hot Chili Bots,Marshall,Michigan,USA,CMPTX,2022,Midwest
1,4454,SLAM Robotics,Philadelphia,Pennsylvania,USA,CMPTX,2022,Northeast
1,4455,The Burger Bots,Warrensburg,Missouri,USA,CMPTX,2022,Midwest
1,4457,Controlled Chaotic Robotics,Portland,Oregon,USA,,2014,West
1,4458,Infernobotix,Center Moriches,New York,USA,CMPTX,2022,Northeast
1,4460,Green MASHine,West Vincent Township,Pennsylvania,USA,,2015,Northeast
1,4464,Team Illusion,Laurel,Maryland,USA,CMPTX,2022,Northeast
1,4466,Robo Hamsters,Culpeper,Virginia,USA,CMPTX,2022,South
1,4468,Fernbank LINKS,Atlanta,Georgia,USA,CMPTX,2022,South
2,4469,R.A.I.D. (Raider Artificial Intelligence DIvision),Federal Way,Washington,USA,CMPTX,2022,West
5,4472,SuperNOVA,Woodbridge,Virginia,USA,CMPTX,2022,South
2,4473,Delta Prime Robotics,Farmingdale,Maine,USA,CMPTX,2022,Northeast
1,4482,ID Robotics,Kalamazoo,Michigan,USA,CMPTX,2022,Midwest
1,4486,Blue Prints,Vista,California,USA,CMPTX,2022,West
11,4488,Shockwave,Hillsboro,Oregon,USA,CMPTX,2022,West
1,4495,Kittitas County Robotics/ Team Haywire,Thorp,Washington,USA,CMPTX,2018,West
6,4499,The Highlanders,Fort Collins,Colorado,USA,CMPTX,2022,West
3,4500,RoboHounds,Clayton,Missouri,USA,CMPTX,2022,Midwest
1,4506,PioNerds,Saint Paul,Minnesota,USA,CMPTX,2022,Midwest
1,4508,Steel Stallions,Schuylerville,New York,USA,CMPTX,2022,Northeast
1,4512,Otter Chaos,Everett,Washington,USA,CMPTX,2022,West
3,4513,Circuit Breakers,Medical Lake,Washington,USA,CMPTX,2022,West
6,4522,Team SCREAM,Sedalia,Missouri,USA,CMPTX,2022,Midwest
1,4534,Wired Wizards,Wilmington,North Carolina,USA,CMPTX,2022,South
3,4539,KAOTIC Robotics,Frazee,Minnesota,USA,CMPTX,2022,Midwest
3,4541,CAVineers,Severn,Maryland,USA,CMPTX,2022,Northeast
1,4547,WestyTek Robotics,Johnstown,Pennsylvania,USA,CMPTX,2022,Northeast
1,4550,Something's Bruin,Greenwood Village ,Colorado,USA,CMPTX,2022,West
2,4555,Sprocketology,Skowhegan,Maine,USA,CMPMI,2018,Northeast
1,4559,FIRST DRaFT,Redmond,Washington,USA,,2014,West
4,4561,TerrorBytes,Research Triangle Park,North Carolina,USA,CMPTX,2022,South
3,4564,Orange Chaos,Brewer,Maine,USA,CMPTX,2022,Northeast
1,4572,BArlow RobAutics,Redding,Connecticut,USA,CMPTX,2022,Northeast
1,4575,The Tin Mints,Springfield,Pennsylvania,USA,CMPTX,2022,Northeast
2,4576,Red Nation Robotics,Knoxville,Tennessee,USA,CMPTX,2022,South
1,4579,RoboEagles,Federal Way,Washington,USA,CMPTX,2022,West
1,4583,Robosaurus,San Diego,California,USA,CMPTX,2022,West
3,4587,Jersey Voltage,Houston,Texas,USA,CMPTX,2022,South
1,4589,AdamasBots,Houston,Texas,USA,,2015,South
3,4592,M3 Mighty Mechanical Mustangs,Hollywood,Florida,USA,CMPTX,2022,South
2,4593,Rapid Acceleration,Rapid City,South Dakota,USA,CMPTX,2022,Midwest
3,4607,C.I.S.,Becker,Minnesota,USA,CMPTX,2022,Midwest
3,4610,BearTecs,Bastrop,Texas,USA,CMPTX,2022,South
1,4611,OZone Robotics,Lewis Center,Ohio,USA,CMPTX,2022,Midwest
1,4624,Rebel Alliance,Owatonna,Minnesota,USA,CMPTX,2022,Midwest
1,4645,The Chicago Style BotDogs,Chicago,Illinois,USA,CMPTX,2022,Midwest
2,4653,Ironmen Robotics,Ramsey,New Jersey,USA,CMPTX,2022,Northeast
2,4654,Mountaineers,Deming,Washington,USA,,2016,West
1,4680,AzTech Eagles ,Detroit,Michigan,USA,CMPTX,2022,Midwest
1,4682,CyBears,Seattle,Washington,USA,CMPTX,2022,West
1,4693,Axiomatic Aftermath,Rockford,Minnesota,USA,CMPTX,2022,Midwest
1,4698,Raider Robotics,Sacramento,California,USA,CMPTX,2022,West
1,4730,Terminators,Albany,Georgia,USA,CMPTX,2022,South
2,4738,Patribots,San Diego,California,USA,CMPTX,2022,West
1,4740,Sparta Bots,Nashville,Tennessee,USA,CMPTX,2022,South
1,4748,Bulldog (Auto)'bots,Charleston,South Carolina,USA,CMPTX,2022,South
3,4761,The Robockets,Reading,Massachusetts,USA,CMPTX,2022,Northeast
2,4766,Team SCREAM Jr.,Sedalia,Missouri,USA,CMPTX,2022,Midwest
2,4768,Cody Comets,Detroit,Michigan,USA,CMPTX,2022,Midwest
2,4776,S.C.O.T.S. Bots,Howell,Michigan,USA,CMPTX,2022,Midwest
1,4778,Stormbots,Chanhassen,Minnesota,USA,CMPTX,2022,Midwest
3,4779,RoboSapiens,Marine City,Michigan,USA,CMPTX,2022,Midwest
3,4795,EastBots,Chapel Hill,North Carolina,USA,CMPTX,2022,South
1,4796,Cyber Dragons,Hyde Park,Massachusetts,USA,CMPTX,2022,Northeast
1,4797,Bryant HS,Long Island City,New York,USA,,2014,Northeast
1,4799,Lazbuddie Robotics,Lazbuddie,Texas,USA,CMPTX,2022,South
1,4810,I AM Robot,Clinton Township,Michigan,USA,CMPTX,2022,Midwest
1,4811,Majestic Eagles,Madison Heights,Michigan,USA,CMPTX,2022,Midwest
1,4815,ELECTROPANTHERS,Center Line,Michigan,USA,CMPTX,2022,Midwest
1,4818,The Herd,West Fargo,North Dakota,USA,CMPTX,2022,Midwest
